nombres,apellidos,partido,comuna,comuna,comuna,cargo
EDUARDO,GIESEN AMTMANN,INDEPENDIENTES,PEÑALOLEN,,,
CARLOS,ALARCON CASTRO,INDEPENDIENTES,PEÑALOLEN,,,
MIGUEL ANDRES,CONCHA MANSO,FRENTE AMPLIO,PEÑALOLEN,,,ALCALDE
CLAUDIA,MORA VEGA,RENOVACION NACIONAL,PEÑALOLEN,,,
ARTURO EDGARDO,FERNANDEZ DIAZ,INDEPENDIENTES,VITACURA,,,
RAUL ANIBAL,MEZA RODRIGUEZ,INDEPENDIENTES,VITACURA,,,
JUAN CARLOS,URZUA PETTINELLI,PARTIDO LIBERAL DE CHILE,VITACURA,,,
CAMILA,MERINO CATALAN,EVOLUCION POLITICA,VITACURA,,,ALCALDE
JUAN CARLOS,ZURITA MEDINA,PARTIDO HUMANISTA,LA FLORIDA,,,
CAROL ESTER,ESPINAZA ASCHIERI,PARTIDO SOCIAL CRISTIANO,LA FLORIDA,,,
NICOLAS ALEJANDRO,HURTADO ACUÑA,PARTIDO COMUNISTA DE CHILE,LA FLORIDA,,,
PAOLA,ROMERO LLANOS,INDEPENDIENTES,LA FLORIDA,,,
DANIEL,REYES MORALES,INDEPENDIENTES,LA FLORIDA,,,ALCALDE
CLAUDIA,PIZARRO PEÑA,PARTIDO DEMOCRATA CRISTIANO,LA PINTANA,,,ALCALDE
DAVID EDUARDO,ZAMBRANO SALAZAR,PARTIDO DE LA GENTE,LA PINTANA,,,
PABLO,MALTES BISKUPOVIC,INDEPENDIENTES,LA PINTANA,,,
HECTOR,GARRIDO ASTUDILLO,INDEPENDIENTES,LA PINTANA,,,
GUILLERMO ANTONIO,BENAVIDES AGUIRRE,INDEPENDIENTES,LA PINTANA,,,
JAIME,ESCUDERO RAMOS,INDEPENDIENTES,PIRQUE,,,ALCALDE
CRISTIAN,BALMACEDA UNDURRAGA,INDEPENDIENTES,PIRQUE,,,
ELEIN,OSSANDON MANRIQUE,PARTIDO SOCIAL CRISTIANO,PUENTE ALTO,,,
LUIS,ESCANILLA BENAVIDES,PARTIDO SOCIALISTA DE CHILE,PUENTE ALTO,,,
KARLA,RUBILAR BARAHONA,INDEPENDIENTES,PUENTE ALTO,,,
MATIAS JAIR,TOLEDO HERRERA,INDEPENDIENTES,PUENTE ALTO,,,ALCALDE
ROBERTO,PEREZ CATALAN,PARTIDO RADICAL DE CHILE,SAN JOSE DE MAIPO,,,ALCALDE
JOSUE ALEJANDRO,MUÑOZ MADRIAZA,PARTIDO DEMOCRATAS CHILE,SAN JOSE DE MAIPO,,,
ALEJANDRO,HORMAZABAL ARTEAGA,INDEPENDIENTES,SAN JOSE DE MAIPO,,,
JOVITA,DIAZ AROS,INDEPENDIENTES,SAN JOSE DE MAIPO,,,
HECTOR LEONARDO,ALVAREZ CARMONA,INDEPENDIENTES,SAN JOSE DE MAIPO,,,
MANUEL FRANCISCO,ZUÑIGA AGUILAR,PARTIDO SOCIALISTA DE CHILE,EL BOSQUE,,,ALCALDE
FELIPE,ROSS CORREA,PARTIDO REPUBLICANO DE CHILE,EL BOSQUE,,,
SEBASTIAN,VEGA UMATINO,INDEPENDIENTES,EL BOSQUE,,,
JOEL ANDRES,OLMOS ESPINOZA,PARTIDO ACCION HUMANISTA,LA CISTERNA,,,ALCALDE
MARJORIE,VASQUEZ ACUÑA,RENOVACION NACIONAL,LA CISTERNA,,,
SANTIAGO,REBOLLEDO PIZARRO,INDEPENDIENTES,LA CISTERNA,,,
PATRICIO,OSSANDON ORTIZ,INDEPENDIENTES,LA CISTERNA,,,
FRANCISCO,MUÑOZ MANQUE,INDEPENDIENTES,LA CISTERNA,,,
JAVIERA PAZ,REYES JARA,PARTIDO COMUNISTA DE CHILE,LO ESPEJO,,,ALCALDE
RICARDO ANDRES,ZAMBRANO ARIAS,INDEPENDIENTES,LO ESPEJO,,,
INGRID,RODRIGUEZ RODRIGUEZ,INDEPENDIENTES,LO ESPEJO,,,
MIGUEL,BRUNA SILVA,INDEPENDIENTES,LO ESPEJO,,,
JOSE,SILVA DIAZ,INDEPENDIENTES,LO ESPEJO,,,
CONSTANZA,ROZAS SALGADO,INDEPENDIENTES,PEDRO AGUIRRE CERDA,,,
LUIS ALBERTO,ASTUDILLO PEIRETTI,INDEPENDIENTES,PEDRO AGUIRRE CERDA,,,ALCALDE
HUMBERTO,GARCIA DIAZ,RENOVACION NACIONAL,PEDRO AGUIRRE CERDA,,,
JUAN,ROZAS ROMERO,INDEPENDIENTES,PEDRO AGUIRRE CERDA,,,
CAROLINA,ONOFRI SALINAS,INDEPENDIENTES,SAN MIGUEL,,,
ERIKA PAULINA,MARTINEZ OSORIO,FRENTE AMPLIO,SAN MIGUEL,,,
RODRIGO ISRAEL,ITURRA BECERRA,PARTIDO DEMOCRATAS CHILE,SAN MIGUEL,,,
CAROL,BOWN SEPULVEDA,UNION DEMOCRATA INDEPENDIENTE,SAN MIGUEL,,,ALCALDE
PATRICIA,HERNANDEZ CORTES,INDEPENDIENTES,SAN MIGUEL,,,
MATIAS,FREIRE VALLEJOS,INDEPENDIENTES,SAN MIGUEL,,,
JOAQUIN ALBERTO,CUADRA REYES,INDEPENDIENTES,SAN MIGUEL,,,
ERNESTO,BALCAZAR GAMBOA,INDEPENDIENTES,SAN MIGUEL,,,
GUSTAVO,TORO QUINTANA,PARTIDO DEMOCRATA CRISTIANO,SAN RAMON,,,ALCALDE
DAVID,CABEDO ROSAS,RENOVACION NACIONAL,SAN RAMON,,,
ROXANA,RIQUELME TABACH,INDEPENDIENTES,SAN RAMON,,,
MIGUEL ANGEL,GARRIDO AGUERO,INDEPENDIENTES,SAN RAMON,,,
GENARO,BALLADARES SCHWANER,INDEPENDIENTES,SAN RAMON,,,
ANDRES,OLGUIN GUZMAN,INDEPENDIENTES,SAN RAMON,,,
MARCELA,CHAMORRO MACIAS,INDEPENDIENTES,ALHUE,,,ALCALDE
ANDREA ELIZABETH,GALVEZ SEPULVEDA,PARTIDO REPUBLICANO DE CHILE,ALHUE,,,
PATRICIO,BASTIAS GONZALEZ,INDEPENDIENTES,ALHUE,,,
JOSE ANDRES,ARELLANO BLANCO,INDEPENDIENTES,ALHUE,,,
CARLOS ENRIQUE,CARO BRISO,PARTIDO HUMANISTA,BUIN,,,
MARCELO,ALVAREZ ALVAREZ,FEDERACION REGIONALISTA VERDE SOCIAL,BUIN,,,
RODRIGO,PEREZ VIDAL,PARTIDO ALIANZA VERDE POPULAR,BUIN,,,
MIGUEL,ARAYA LOBOS,UNION DEMOCRATA INDEPENDIENTE,BUIN,,,ALCALDE
CONSTANZA RAQUEL,VALENZUELA ROCUANT,INDEPENDIENTES,CALERA DE TANGO,,,
HORTENSIA,MORA CATALAN,UNION DEMOCRATA INDEPENDIENTE,CALERA DE TANGO,,,ALCALDE
MARCELO,CEPEDA ROJAS,INDEPENDIENTES,CALERA DE TANGO,,,
ARIADNE PATRICIA,CONTE CHASSIN-TRUBERT,PARTIDO COMUNISTA DE CHILE,CURACAVI,,,
BLANCA ROSA,CONCHA MARAMBIO,PARTIDO REPUBLICANO DE CHILE,CURACAVI,,,
KATHERINE,DE LA VEGA FUENTES,INDEPENDIENTES,CURACAVI,,,
YOVANNA,FUENTES PINO,INDEPENDIENTES,CURACAVI,,,
SUSANA,CORDOVA GONZALEZ,INDEPENDIENTES,CURACAVI,,,
MARIA TERESA,CAGALJ KRALJ,INDEPENDIENTES,CURACAVI,,,
LUIS HUMBERTO ALEJANDRO,CAAMAÑO AREVALO,INDEPENDIENTES,CURACAVI,,,
CHRISTIAN,HERNANDEZ VILLANUEVA,INDEPENDIENTES,CURACAVI,,,ALCALDE
ZANDRA SOFIA,MAULEN JOFRE,INDEPENDIENTES,EL MONTE,,,ALCALDE
XIMENA,VARELA ZUÑIGA,INDEPENDIENTES,EL MONTE,,,
SEBASTIAN,CHACON SOTO,INDEPENDIENTES,EL MONTE,,,
SANDRA CECILIA,LOPEZ SALAZAR,INDEPENDIENTES,EL MONTE,,,
ROSSANA,SANHUEZA MUÑOZ,INDEPENDIENTES,EL MONTE,,,
JUAN PABLO,GOMEZ RAMIREZ,INDEPENDIENTES,EL MONTE,,,
JORGE,ESPINOZA CUEVAS,INDEPENDIENTES,EL MONTE,,,
FRANCISCO,VALDES REYES,INDEPENDIENTES,EL MONTE,,,
ANDREA,CESPEDES POBLETE,INDEPENDIENTES,EL MONTE,,,
CARLOS FRANCISCO,ADASME GODOY,INDEPENDIENTES,ISLA DE MAIPO,,,
JUAN PABLO,OLAVE CAMBARA,INDEPENDIENTES,ISLA DE MAIPO,,,ALCALDE
MARIA CAROLINA,JIMENEZ ALVAREZ,INDEPENDIENTES,MARIA PINTO,,,
JESSICA,MUALIM FAJURI,RENOVACION NACIONAL,MARIA PINTO,,,ALCALDE
JUAN AGUSTIN,PINTO MARTINEZ,INDEPENDIENTES,MELIPILLA,,,
LORENA CATALINA,OLAVARRIA BAEZA,FRENTE AMPLIO,MELIPILLA,,,
EDUARDO ANTONIO,CONTRERAS PEREZ,PARTIDO DE LA GENTE,MELIPILLA,,,
LALO,CATALAN HERRADA,INDEPENDIENTES,MELIPILLA,,,
SERGIO,MILLALEN HIMILAF,PARTIDO ALIANZA VERDE POPULAR,MELIPILLA,,,
PAULA,GARATE ROJAS,UNION DEMOCRATA INDEPENDIENTE,MELIPILLA,,,ALCALDE
DANIEL,DOMINGUEZ GONZALEZ,INDEPENDIENTES,MELIPILLA,,,
FELIPE,MUÑOZ HEREDIA,PARTIDO SOCIALISTA DE CHILE,PADRE HURTADO,,,ALCALDE
JOSE MIGUEL,ARELLANO MERINO,RENOVACION NACIONAL,PADRE HURTADO,,,
PATRICIO,MUÑOZ VEGAS,INDEPENDIENTES,PADRE HURTADO,,,
MARIO ANTONIO,ARROS MUÑOZ,FEDERACION REGIONALISTA VERDE SOCIAL,PAINE,,,
GUSTAVO ENRIQUE,GONZALEZ ARAYA,INDEPENDIENTES,PAINE,,,
RODRIGO,CONTRERAS GUTIERREZ,UNION DEMOCRATA INDEPENDIENTE,PAINE,,,ALCALDE
RAMON,SANDOVAL ZURITA,INDEPENDIENTES,PAINE,,,
NIBALDO,MEZA GARFIA,PARTIDO DEMOCRATA CRISTIANO,PEÑAFLOR,,,
RODRIGO,CORNEJO INOSTROZA,UNION DEMOCRATA INDEPENDIENTE,PEÑAFLOR,,,ALCALDE
MANUEL SEGUNDO,FUENTES ROSALES,INDEPENDIENTES,PEÑAFLOR,,,
EMMA PATRICIA,MORALES ARZOLA,INDEPENDIENTES,PEÑAFLOR,,,
DIEGO,SAN MARTIN VELASCO,INDEPENDIENTES,PEÑAFLOR,,,
CLAUDIA,ARANGUIZ VIELMA,INDEPENDIENTES,PEÑAFLOR,,,
CHRISTOPHER EDWIN,ESPINOZA OLIVER,INDEPENDIENTES,SAN BERNARDO,,,
CHRISTOPHER ANTONIO,WHITE BAHAMONDES,PARTIDO SOCIALISTA DE CHILE,SAN BERNARDO,,,ALCALDE
VICTOR GALVARINO,MOL ALCANTARA,PARTIDO DE LA GENTE,SAN BERNARDO,,,
CHRISTIAN WALTER,GOMEZ DIAZ,INDEPENDIENTES,SAN BERNARDO,,,
LEONEL,CADIZ SOTO,INDEPENDIENTES,SAN BERNARDO,,,
CHRISTIAN,PINO LOPEZ,INDEPENDIENTES,SAN BERNARDO,,,
EMILIO MARCELO,CERDA SAGURIE,INDEPENDIENTES,SAN PEDRO,,,
MANUEL,DEVIA VILCHES,INDEPENDIENTES,SAN PEDRO,,,ALCALDE
MARCIA,QUIROZ MALLEA,INDEPENDIENTES,SAN PEDRO,,,
FLORENTINO,FLORES ARMIJO,INDEPENDIENTES,SAN PEDRO,,,
FELIPE IGNACIO ANTONIO,YAÑEZ FIGUEROA,INDEPENDIENTES,SAN PEDRO,,,
SEBASTIAN ENRIQUE,ROSAS GUERRERO,INDEPENDIENTES,TALAGANTE,,,ALCALDE
ANNEMARIE IRENE,MULLER DURING,PARTIDO REPUBLICANO DE CHILE,TALAGANTE,,,
LUIS,REYES VILLAVICENCIO,INDEPENDIENTES,TALAGANTE,,,
NEHEL ENRIQUE,MUÑOZ LAGOS,INDEPENDIENTES,CERRILLOS,,,
LORENA,FACUSE ROJAS,INDEPENDIENTES,CERRILLOS,,,
LUIS MOISES,CORTES IBARRA,PARTIDO REPUBLICANO DE CHILE,CERRILLOS,,,
ALEJANDRO,ALMENDARES MULLER,RENOVACION NACIONAL,CERRILLOS,,,
ORFILIA,CASTRO TOBAR,INDEPENDIENTES,CERRILLOS,,,
JOHNNY,YAÑEZ DIAZ,INDEPENDIENTES,CERRILLOS,,,ALCALDE
NICOLAS RAUL,PAVEZ CUEVAS,FRENTE AMPLIO,COLINA,,,
LUIS FRANCISCO,SALINAS SEGURA,INDEPENDIENTES,COLINA,,,
ISABEL,VALENZUELA AHUMADA,UNION DEMOCRATA INDEPENDIENTE,COLINA,,,ALCALDE
FELIPE EDUARDO,MUÑOZ VALLEJOS,INDEPENDIENTES,ESTACION CENTRAL,,,ALCALDE
IVO,PAVLOVIC LAZCANO,UNION DEMOCRATA INDEPENDIENTE,ESTACION CENTRAL,,,
MIGUEL ANGEL,ABDO ARA,INDEPENDIENTES,ESTACION CENTRAL,,,
GUILLERMO,FLORES CONTRERAS,INDEPENDIENTES,ESTACION CENTRAL,,,
GONZALO ALBERTO,REBOLLEDO RODRIGUEZ,INDEPENDIENTES,LAMPA,,,
JONATHAN,OPAZO CARRASCO,INDEPENDIENTES,LAMPA,,,ALCALDE
ALEJANDRA SOLANGE,NAVARRETE CARRASCO,INDEPENDIENTES,LAMPA,,,
MARIO,OLAVARRIA RODRIGUEZ,INDEPENDIENTES,LAMPA,,,
FABIOLA,ZAPATA PANES,INDEPENDIENTES,LAMPA,,,
EVA,ALARCON ALANIS,INDEPENDIENTES,LAMPA,,,
CRISTIAN,TALAMILLA LOPEZ,INDEPENDIENTES,LAMPA,,,
CARLOS,ESCOBAR PAREDES,INDEPENDIENTES,LAMPA,,,
MARCO ANTONIO,SOTO BOBADILLA,INDEPENDIENTES,MAIPU,,,
TOMAS,VODANOVIC ESCUDERO,FRENTE AMPLIO,MAIPU,,,ALCALDE
YENIFER BELEN,CERPA CASTRO,PARTIDO DE LA GENTE,MAIPU,,,
MAXIMO,QUITRAL ROJAS,INDEPENDIENTES,MAIPU,,,
ENRIQUE ALEJANDRO,BASSALETTI RIESS,INDEPENDIENTES,MAIPU,,,
CHRISTIAN,VITTORI MUÑOZ,INDEPENDIENTES,MAIPU,,,
ITALO ANDRES,BRAVO LIZANA,INDEPENDIENTES,PUDAHUEL,,,ALCALDE
PATRICIO,CISTERNAS MONREAL,PARTIDO DEMOCRATAS CHILE,PUDAHUEL,,,
CRISTIAN,RIPOLL RIQUELME,INDEPENDIENTES,PUDAHUEL,,,
GABRIEL MOISES,SILBER ROMO,INDEPENDIENTES,PUDAHUEL,,,
PAULINA REBECA,BOBADILLA NAVARRETE,INDEPENDIENTES,QUILICURA,,,ALCALDE
PABLO ANDRES,FUENZALIDA SALAS,PARTIDO DE LA GENTE,QUILICURA,,,
CESAR,VEGA LAZO,INDEPENDIENTES,QUILICURA,,,
PAOLA,ROMERO VALDIVIA,INDEPENDIENTES,QUILICURA,,,
OSCAR,SALDAÑA ABARCA,INDEPENDIENTES,QUILICURA,,,
JUAN ELVIRO,CARRASCO CONTRERAS,INDEPENDIENTES,QUILICURA,,,
LUIS ANDRES,VALENZUELA CRUZAT,FRENTE AMPLIO,TILTIL,,,
CESAR EUGENIO,MENA RETAMAL,INDEPENDIENTES,TILTIL,,,ALCALDE
VALENTINA,DOMINGUEZ SAAVEDRA,INDEPENDIENTES,TILTIL,,,
SERGIO,TAPIA SANDOVAL,INDEPENDIENTES,TILTIL,,,
CRISTOBAL,SANCHEZ CARVALLO,INDEPENDIENTES,TILTIL,,,
JOSE,CACERES MUÑOZ,PARTIDO SOCIAL CRISTIANO,CERRO NAVIA,,,
IRIS LILIAN,MORALES OLIVARES,FEDERACION REGIONALISTA VERDE SOCIAL,CERRO NAVIA,,,
JULIETA,SANTIBAÑEZ LATORRE,RENOVACION NACIONAL,CERRO NAVIA,,,
PILAR CAROLINA,ROA ALARCON,INDEPENDIENTES,CERRO NAVIA,,,
MAURO,TAMAYO ROZAS,INDEPENDIENTES,CERRO NAVIA,,,ALCALDE
JOSE,SEPULVEDA ZELADA,INDEPENDIENTES,CERRO NAVIA,,,
ERICK,COÑOMAN GARAY,PARTIDO HUMANISTA,CONCHALI,,,
GRACE ANDREA,ARCOS MATURANA,PARTIDO COMUNISTA DE CHILE,CONCHALI,,,
RODRIGO,CARAMORI DONOSO,INDEPENDIENTES,CONCHALI,,,
MARIA ELENA,VALENZUELA PINO,PARTIDO ALIANZA VERDE POPULAR,CONCHALI,,,
MACARENA,GARCIA-HUIDOBRO LLORT,PARTIDO REPUBLICANO DE CHILE,CONCHALI,,,
RUBEN,CARVACHO RIVERA,INDEPENDIENTES,CONCHALI,,,
RONALD,OPAZO CERPA,INDEPENDIENTES,CONCHALI,,,
RENE,DE LA VEGA FUENTES,INDEPENDIENTES,CONCHALI,,,ALCALDE
CAROLINA PAOLA,ROJAS CHARCAS,PARTIDO POR LA DEMOCRACIA,HUECHURABA,,,
DANIEL ALEJANDRO,BUSTOS AGUAYO,INDEPENDIENTES,HUECHURABA,,,
JOHNY,PEREZ VIDAL,PARTIDO ALIANZA VERDE POPULAR,HUECHURABA,,,
MAXIMILIANO,LUKSIC LEDERER,INDEPENDIENTES,HUECHURABA,,,ALCALDE
SERGIO,BRAVO CAMPOS,INDEPENDIENTES,HUECHURABA,,,
JOSE,ROSSI GIACOSA,INDEPENDIENTES,HUECHURABA,,,
JENNIFER ANDREA,PEREZ RIVERA,INDEPENDIENTES,INDEPENDENCIA,,,
MARGARITA,GARRIDO ACEVEDO,INDEPENDIENTES,INDEPENDENCIA,,,
DANIELA CONSTANZA,PARADA VARGAS,FRENTE AMPLIO,INDEPENDENCIA,,,
FRANCISCO ANTONIO,BECERRA RIVAS,PARTIDO ALIANZA VERDE POPULAR,INDEPENDENCIA,,,
AGUSTIN,IGLESIAS MUÑOZ,INDEPENDIENTES,INDEPENDENCIA,,,ALCALDE
JESSICA,HORMAZABAL ESPINOZA,INDEPENDIENTES,LO PRADO,,,
MAXIMILIANO,RIOS GALLEGUILLOS,PARTIDO POR LA DEMOCRACIA,LO PRADO,,,ALCALDE
JIMMY,ARCE LEIVA,INDEPENDIENTES,LO PRADO,,,
CESAR,SANHUEZA CEA,INDEPENDIENTES,LO PRADO,,,
OSVALDO GUILLERMO,MUÑOZ SANCHEZ,PARTIDO SOCIAL CRISTIANO,QUINTA NORMAL,,,
KARINA ANDREA,DELFINO MUSSA,PARTIDO SOCIALISTA DE CHILE,QUINTA NORMAL,,,ALCALDE
MANUEL,MUÑOZ PALACIOS,INDEPENDIENTES,QUINTA NORMAL,,,
NATALIA,SILVA HERRERA,EVOLUCION POLITICA,QUINTA NORMAL,,,
VERONICA,MONTECINOS ORTIZ,INDEPENDIENTES,QUINTA NORMAL,,,
ANDRES RIGOBERTO,CACERES BRAVO,INDEPENDIENTES,RECOLETA,,,
FARES MANUEL,JADUE LEIVA,PARTIDO COMUNISTA DE CHILE,RECOLETA,,,ALCALDE
MAURICIO,SMOK ALLEMANDI,UNION DEMOCRATA INDEPENDIENTE,RECOLETA,,,
MIGUEL,ACOSTA VILLALON,INDEPENDIENTES,RECOLETA,,,
ALBERTO ANDRES,SEGUEL MENA,INDEPENDIENTES,RECOLETA,,,
PAUL FREDDY,HERRERA DIAZ,PARTIDO DE LA GENTE,RENCA,,,
CAMILA INES,AVILES BARRAZA,PARTIDO DEMOCRATAS CHILE,RENCA,,,
CLAUDIO NICOLAS,CASTRO SALAS,INDEPENDIENTES,RENCA,,,ALCALDE
JUAN NOLBERTO,VALENZUELA GONZALEZ,PARTIDO POR LA DEMOCRACIA,CORRAL,,,
CLAUDIO,GONZALEZ NAVARRO,RENOVACION NACIONAL,CORRAL,,,ALCALDE
MIGUEL ENRIQUE,HERNANDEZ MELLA,INDEPENDIENTES,CORRAL,,,
GASTON HERMOGENES,PEREZ GONZALEZ,INDEPENDIENTES,CORRAL,,,
FERNANDO JAVIER,FLANDEZ MONTECINOS,PARTIDO POR LA DEMOCRACIA,FUTRONO,,,ALCALDE
LEONILA,SAEZ ALARCON,UNION DEMOCRATA INDEPENDIENTE,FUTRONO,,,
CATHERINE DANITZA,ESCARATE FUENTES,PARTIDO COMUNISTA DE CHILE,LAGO RANCO,,,
MIGUEL ANGEL,MEZA SHWENKE,RENOVACION NACIONAL,LAGO RANCO,,,ALCALDE
JUAN,ROCHA AGUILERA,PARTIDO SOCIALISTA DE CHILE,LANCO,,,ALCALDE
EDUARDO,URIBE CAMPOS,RENOVACION NACIONAL,LANCO,,,
MARCELA,OLIVERA MONTERO,INDEPENDIENTES,LANCO,,,
JUAN ANDRES,REINOSO CARRILLO,PARTIDO SOCIALISTA DE CHILE,LA UNION,,,
MARIA SONIA,AGUILEF GALLEGOS,PARTIDO DE LA GENTE,LA UNION,,,
ELIANA ELENA,AZOCAR SILVA,RENOVACION NACIONAL,LA UNION,,,
SATURNINO CASIMIRO,QUEZADA SOLIS,INDEPENDIENTES,LA UNION,,,ALCALDE
MATIAS,VELASQUEZ FLORES,INDEPENDIENTES,LA UNION,,,
HERTY,BAEZ HERNANDEZ,INDEPENDIENTES,LA UNION,,,
CAMILO,GOMEZ GOMEZ,INDEPENDIENTES,LA UNION,,,
ALDO,PINUER SOLIS,INDEPENDIENTES,LA UNION,,,
ALDO EMILIO,RETAMAL ARRIAGADA,PARTIDO COMUNISTA DE CHILE,LOS LAGOS,,,
VICTOR,FRITZ AGUAYO,INDEPENDIENTES,LOS LAGOS,,,ALCALDE
JAVIER IGNACIO,SANTIBAÑEZ BAEZ,INDEPENDIENTES,LOS LAGOS,,,
EDUARDO,ACUÑA ACUÑA,PARTIDO SOCIALISTA DE CHILE,MAFIL,,,
SANDRA INES,BASTIAS BILBAO,RENOVACION NACIONAL,MAFIL,,,
LEONARDO,MUÑOZ VALLEJOS,INDEPENDIENTES,MAFIL,,,
GUILLERMO,SOTO ORTEGA,INDEPENDIENTES,MAFIL,,,
ANDRES,LARA MARTINEZ,INDEPENDIENTES,MAFIL,,,ALCALDE
PAMELA,DORNEMANN ROJAS,INDEPENDIENTES,MARIQUINA,,,
GUILLERMO ROLANDO,MITRE GATICA,INDEPENDIENTES,MARIQUINA,,,ALCALDE
CRISTIAN,NAVARRETE QUEZADA,INDEPENDIENTES,PAILLACO,,,ALCALDE
RODRIGO,CORTES OYARZUN,EVOLUCION POLITICA,PAILLACO,,,
MIGUEL ANGEL,CARRASCO GARCIA,INDEPENDIENTES,PAILLACO,,,
RODRIGO,VALDIVIA ORIAS,PARTIDO SOCIALISTA DE CHILE,PANGUIPULLI,,,ALCALDE
DAVID,RUIZ CIFUENTES,INDEPENDIENTES,PANGUIPULLI,,,
PEDRO,BURGOS VASQUEZ,INDEPENDIENTES,PANGUIPULLI,,,
PABLO,SANDOVAL JARA,INDEPENDIENTES,PANGUIPULLI,,,
ELIAS,SABAT ACLEH,INDEPENDIENTES,PANGUIPULLI,,,
GERARDO ABRAHAM,JARAMILLO ASENCIO,INDEPENDIENTES,RIO BUENO,,,
JAVIER,ROSAS BOBADILLA,PARTIDO DEMOCRATA CRISTIANO,RIO BUENO,,,
LUIS,REYES ALVAREZ,INDEPENDIENTES,RIO BUENO,,,ALCALDE
CAROLINA ANDREA,SILVA PEREZ,INDEPENDIENTES,RIO BUENO,,,
JOSE IGNACIO,BUSTOS MUÑOZ,PARTIDO SOCIAL CRISTIANO,VALDIVIA,,,
CARLA ANDREA,AMTMANN FECCI,FRENTE AMPLIO,VALDIVIA,,,ALCALDE
JORGE EDUARDO,VIVES DIBARRART,MOVIMIENTO AMARILLOS POR CHILE,VALDIVIA,,,
LEANDRO JORGE,KUNSTMANN COLLADO,PARTIDO REPUBLICANO DE CHILE,VALDIVIA,,,
EDUARDO,BERGER SILVA,RENOVACION NACIONAL,VALDIVIA,,,
SEBASTIAN,ARELLANO PESCETTO,INDEPENDIENTES,ARICA,,,
GERARDO,ESPINDOLA ROJAS,PARTIDO LIBERAL DE CHILE,ARICA,,,
RAYKO ALEJANDRO,KARMELIC PAVLOV,PARTIDO DE LA GENTE,ARICA,,,
STEPHANIE,JELDREZ ORTIZ,PARTIDO REPUBLICANO DE CHILE,ARICA,,,
RAUL,GIL GONZALEZ,UNION DEMOCRATA INDEPENDIENTE,ARICA,,,
ORLANDO SEVERO,VARGAS PIZARRO,INDEPENDIENTES,ARICA,,,ALCALDE
JOSE GUSTAVO,LEE RODRIGUEZ,INDEPENDIENTES,ARICA,,,
JORGE ARMANDO,GUILLEN OLIVARES,INDEPENDIENTES,ARICA,,,
ESTEBAN CLAUDIO,ROMERO MAMANI,INDEPENDIENTES,ARICA,,,
DANIEL,CHIPANA CASTRO,INDEPENDIENTES,ARICA,,,
CRISTIAN,ZAVALA SOTO,PARTIDO DEMOCRATA CRISTIANO,CAMARONES,,,ALCALDE
ROLANDO,MANZANO BUTRON,INDEPENDIENTES,GENERAL LAGOS,,,
VERONICA LUISA,MITA TANCARA,PARTIDO DE LA GENTE,GENERAL LAGOS,,,
IGNACIO PABLO,FLORES HUANCA,INDEPENDIENTES,GENERAL LAGOS,,,
ALEX FERNANDO,CASTILLO BLAS,PARTIDO REPUBLICANO DE CHILE,GENERAL LAGOS,,,ALCALDE
GREGORIO,MENDOZA CHURA,RENOVACION NACIONAL,GENERAL LAGOS,,,
RUSSEL BASILIO,AQUINO ALCON,INDEPENDIENTES,GENERAL LAGOS,,,
LUIS MAURICIO,CHAMBILLA CHURA,INDEPENDIENTES,GENERAL LAGOS,,,
CHRISTIAN SERGIO,MAMANI FLORES,INDEPENDIENTES,GENERAL LAGOS,,,
JOSE ANTONIO,SARCO JIMENEZ,PARTIDO HUMANISTA,PUTRE,,,
ANGELO ALEJANDRO,CARRASCO ARIAS,PARTIDO POR LA DEMOCRACIA,PUTRE,,,
FABIAN ALBERTO,HILAJA HUMIRE,INDEPENDIENTES,PUTRE,,,
JAVIER,TITO HUAYLLA,INDEPENDIENTES,PUTRE,,,ALCALDE
PATRICIO ANDRES,VELOZO FLORES,PARTIDO RADICAL DE CHILE,BULNES,,,
GONZALO,BUSTAMANTE TRONCOSO,INDEPENDIENTES,BULNES,,,ALCALDE
JUAN,AREVALO ROJAS,INDEPENDIENTES,BULNES,,,
GUILLERMO ALEJANDRO,YEBER RODRIGUEZ,INDEPENDIENTES,BULNES,,,
JOHN,ANDRADES ANDRADES,INDEPENDIENTES,CHILLAN,,,
CAMILO FRANCISCO,BENAVENTE JIMENEZ,PARTIDO POR LA DEMOCRACIA,CHILLAN,,,ALCALDE
EDUARDO,AEDO CASTILLO,PARTIDO ALIANZA VERDE POPULAR,CHILLAN,,,
SERGIO,ZARZAR ANDONIE,INDEPENDIENTES,CHILLAN,,,
FERNANDO,BRIONES CONTRERAS,INDEPENDIENTES,CHILLAN,,,
KARLA,MUÑOZ MALDONADO,INDEPENDIENTES,CHILLAN VIEJO,,,
RAFAEL,PALAVECINO TRONCOZO,PARTIDO SOCIALISTA DE CHILE,CHILLAN VIEJO,,,
SERGIO HERMAN,CONTRERAS NAVARRO,MOVIMIENTO AMARILLOS POR CHILE,CHILLAN VIEJO,,,
VALENTINO ANDRES,URRUTIA CABRERA,INDEPENDIENTES,CHILLAN VIEJO,,,
JORGE ANDRES,DEL POZO PASTENE,INDEPENDIENTES,CHILLAN VIEJO,,,ALCALDE
CLAUDIA,RUBILAR SIERRA,INDEPENDIENTES,CHILLAN VIEJO,,,
